host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
66,4,0,589.075,5,0,0,15.8,7.2,14.8,6.6,603.4,-587,49.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,4,0,Inf,5,0,0,16,7.2,14.8,6.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,4,0,Inf,5,0,0,16,7.2,14.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,4,0,Inf,5,0,0,16,7.2,14.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,4,0,Inf,5,0,0,16,7.2,15,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,4,0,Inf,5,0,0,16,7.2,14.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
64,4,0,Inf,5,0,0,16,7,14.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,4,0,687.0643,5,0,0,16,7,14.8,Null,671,687,9.4,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,4,0,599.3062,5,0,0,16,7,14.8,Null,614,-597.2,50.2,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
66,4,0,Inf,5,0,0,16.2,6.8,14.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
63,4,0,Inf,5,0,0,16.2,6.8,14.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
63,4,0,510.8319,5,0,0,16.2,6.8,14.8,Null,525.8,-509.2,40.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
64,4,0,461.7373,Null,0,0,16.2,Null,14.8,Null,476.2,-459.4,46.4,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
64,4,0,485.1212,Null,0,0,16.2,Null,14.8,Null,499.6,-482.8,47.4,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
63,1,0,Inf,Null,0,0,2.6,Null,14.8,Null,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
64,1,0,Inf,Null,0,0,2.4,Null,15,Null,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
62,1,0,Inf,2,0,0,2.4,6.8,15,6.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
62,4,0,28938.5133,5,0,0,16.4,6.8,15,6.4,28954.4,-28929.4,726.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,14050.6786,2,0,0,2.4,6.8,15,6.2,14052.8,-14047.8,284.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.8,6.8,15,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.4,6.8,15,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
61,1,0,Inf,2,0,0,2.2,6.6,15.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,Inf,2,0,0,2.4,6.6,15.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,Inf,2,0,0,2.4,6.6,15.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,Inf,2,0,0,2.4,6.6,15.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.4,6.6,15.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
