host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
59,1,0,95.2076,2,-1,-1,3,8.2,3,Null,98.2,-95.2,1.2,100.8,-108.2,-2.2,130.4,-127.4,-0.2,Null,Null,Null
60,1,0,96.4008,2,-1,-1,3,8.2,3,Null,99.4,-96.4,0.4,99.6,-107,-2.4,128,-125,0,Null,Null,Null
59,1,0,95.6019,2,-1,-1,3,8.2,3,Null,98.6,-95.6,0.6,92.2,-99.8,-1,125.2,-122.2,-1,Null,Null,Null
60,1,0,93.8019,2,-1,-1,3,8.2,3,Null,96.8,-93.8,0.6,97.4,-104.6,-3.6,111,-108,-3,Null,Null,Null
59,1,0,95.8033,2,-1,-1,3,8.2,3,Null,98.8,-95.8,0.8,129.2,-135.8,-10.2,120,-117,-2,Null,Null,Null
59,1,0,95.0034,2,-1,-1,2.8,8.2,3,Null,97.8,-95,0.8,133,-139.6,-11,103.6,-100.6,-3.8,Null,Null,Null
59,1,0,94.6076,2,-1,-1,2.8,8.2,3,Null,97.4,-94.6,1.2,121.2,-127.8,-9,109.8,-106.8,-3.4,Null,Null,Null
59,1,0,98.6018,2,-1,-1,3,8.2,3,Null,101.6,-98.6,-0.6,99.6,-106.8,-3.6,116.4,-113.4,-2.4,Null,Null,Null
59,1,0,96.4002,2,-1,-1,3,8.2,3,8.4,99.4,-96.4,0.2,116.4,-123.2,-8.2,124.8,-121.8,-0.6,145.2,-151.8,3.8
59,1,0,95.4034,2,-1,-1,3,8.2,3,Null,98.4,-95.4,0.8,81.8,-89.4,0.4,116.6,-113.6,-1.8,Null,Null,Null
59,1,0,101.8018,2,-1,-1,3,8.2,3,Null,104.8,-101.8,-0.6,99.4,-106.8,-3.2,112.2,-109.2,-2.4,Null,Null,Null
60,1,0,100.8008,2,-1,-1,3,8.2,3,8.2,103.8,-100.8,-0.4,107.2,-114.4,-5,116.6,-113.6,-1.2,74.4,-82.2,-9.8
60,1,0,95.2076,2,-1,-1,2.8,8.2,3,8,98,-95.2,1.2,120.4,-127.2,-7.8,116.2,-113.2,-0.8,61,-68.6,-9
60,1,0,92.0217,2,-1,-1,2.8,8.2,3,8,94.8,-92,2,130,-136.8,-9.2,112,-109,-1.2,51.4,-59.2,-12
59,1,0,93.8173,2,-1,-1,2.8,8.2,3,7.8,96.6,-93.8,1.8,130,-136.8,-9.2,107.6,-104.6,-1.6,153.2,-159.4,6
59,1,0,98.2033,2,-1,-1,2.8,8.2,3,7.8,101,-98.2,0.8,90.8,-98.2,-1.4,106.4,-103.4,-2,53.6,-61.2,-10
60,1,0,95.2103,2,-1,-1,2.8,8.2,3,7.8,98,-95.2,1.4,118.8,-125.8,-7,111.2,-108.2,-1.6,125.2,-132,2
59,1,0,93.4259,2,-1,-1,2.8,8.2,3,7.6,96.2,-93.4,2.2,130,-136.8,-9.2,111.2,-108.2,-1.6,156.8,-163,7.2
59,1,0,97.4051,2,-1,-1,2.8,8.2,3,7.6,100.2,-97.4,1,107.2,-114.4,-4.6,62.2,-59.2,-10,60.6,-68.2,-9.2
59,1,0,97.4051,2,-1,-1,2.8,8.2,3,7.6,100.2,-97.4,1,130,-136.8,-9.2,45.2,-42,-10.6,49.8,-57.4,-10.8
59,1,0,98.2008,2,-1,-1,3,8.2,3,7.4,101.2,-98.2,0.4,105.2,-112.4,-4.6,39.4,-36.2,-11.6,101.6,-108.6,-2.2
59,1,0,102.4018,2,-1,-1,3,8.2,3,7.4,105.4,-102.4,-0.6,99.6,-107,-2.4,46,-42.8,-11.4,93.2,-100.4,-4
59,1,0,102.6002,2,-1,-1,3,8.2,3,7.4,105.6,-102.6,-0.2,105.2,-112.4,-4.6,62.8,-59.8,-10.2,72.2,-79.6,-6.6
59,1,0,96.4052,2,-1,-1,3,8.2,3,7.4,99.4,-96.4,1,129,-135.8,-9,109.8,-106.8,-1.8,88.2,-95.4,-4.6
59,1,0,105.0008,2,-1,-1,3,8.2,3,7.4,108,-105,-0.4,111.6,-119,-3.8,105.6,-102.6,-2.4,97.4,-104.6,-3.4
59,1,0,56.9575,2,-1,-1,3,8.2,2.8,7.4,110.8,-107.8,-0.6,116.2,-123.6,-4.2,58.8,-56,-10.4,74.2,-81.4,-5.8
59,1,0,124.485,2,-1,-1,3,8.2,3,7.4,127.6,-124.4,-4.6,133.6,-140.4,-9.4,42,-38.8,-11,98.8,-106,-3.6
59,1,0,32.4234,2,-1,-1,3,8.2,2.8,7.4,113.4,-110.4,-0.6,128,-135.2,-6.4,33.4,-30.2,-11.8,137.8,-144.4,4.2
60,1,0,109.2007,2,-1,-1,3,8.2,3,7.4,112.2,-109.2,-0.4,142.2,-149.2,-8.2,34.8,-31.4,-11.8,122.2,-129,2
59,1,0,119.0284,2,-1,-1,3,8.2,3,7.4,122.2,-119,-2.6,152.6,-159.6,-9.6,44.2,-41,-11.4,98.8,-106,-3.6
59,1,0,115.2111,2,-1,-1,3,8.2,3,7.4,118.4,-115.2,-1.6,179.4,-185.8,-15,54.4,-51.4,-10.4,65,-72.4,-7.6
59,1,0,132.2732,2,-1,-1,3,8.2,3,7.4,135.4,-132.2,-4.4,161.4,-168.4,-10.2,45.8,-42.4,-12.8,65,-72.4,-7.6
60,1,0,116.6139,2,-1,-1,3,8.2,3,7.4,119.8,-116.6,-1.8,193.4,-199.8,-15.6,43.4,-40.2,-11.4,65,-72.4,-7.6
59,1,0,116.6027,2,-1,-1,3,8.2,3,7.4,119.6,-116.6,-0.8,109.6,-117.4,0,121,-117.8,0.8,60,-67.4,-8.8
59,1,0,116.6027,2,-1,-1,3,8.2,3,7.2,119.6,-116.6,-0.8,160.2,-167.2,-8.8,39.4,-36.2,-11.6,147.6,-153.8,6.4
59,1,0,130.4443,2,-1,-1,3,8.2,3,7.2,133.6,-130.4,-3.4,132.2,-139.8,-2.4,43,-39.8,-11.6,127.8,-134.2,3.4
60,1,0,128.8397,2,-1,-1,3,8.2,3,7.2,132,-128.8,-3.2,148,-155.4,-5.6,53,-49.8,-11.2,153.6,-160,6.2
59,1,0,140.8888,2,-1,-1,3,8.2,3,7.2,144,-140.8,-5,152.2,-159.8,-4.6,53,-49.8,-11.4,94,-101,-4
61,1,0,120.6027,2,-1,-1,2.8,8,3,7.2,123.4,-120.6,-0.8,187.2,-193.8,-13.2,52.4,-49.2,-11.8,122.4,-129.2,-0.4
61,1,0,143.4503,2,-1,-1,2.8,8,3,7.2,146.4,-143.4,-3.8,258.8,-264.8,-23,54.2,-51,-11.2,101.2,-108.2,-3.8
60,1,0,150.4532,2,-1,-1,2.8,8,3,7.2,153.4,-150.4,-4,153.4,-160.8,-3.8,53,-49.8,-11.6,85.2,-92.2,-4.8
61,1,0,152.6755,2,-1,-1,2.8,8,3,7.2,155.6,-152.6,-4.8,164.2,-171.6,-4.4,60.8,-57.8,-11,98.4,-105.4,-3.8
61,1,0,134.0013,2,-1,-1,2.8,7.8,3,7.2,136.8,-134,-0.6,149.4,-156.8,-2.6,103.8,-100.8,-3.8,98.4,-105.4,-3.8
61,1,0,165.4484,2,-1,-1,2.8,7.8,3,7.2,168.4,-165.4,-4,186.6,-194,-4.2,73.2,-70.2,-9.6,98.4,-105.4,-3.8
61,1,0,187.7705,2,-1,-1,2.8,7.6,3,7.2,190.8,-187.6,-8,296,-302,-21.2,101.6,-98.6,-4.2,98.4,-105.4,-3.8
61,1,0,175.8502,2,-1,-1,2.8,7.6,3,7.2,178.8,-175.8,-4.2,209,-216,-6.8,66,-63,-10.2,93,-100,-4.8
61,1,0,202.521,2,-1,-1,2.8,7.6,2.8,7.2,205.4,-202.4,-7,263.6,-270.4,-11,100.8,-98,-5,93,-100,-4.8
60,1,0,177.6221,2,-1,-1,2.8,7.4,2.8,7.2,180.4,-177.6,-2.8,223,-229.8,-7,105.2,-102.4,-4.4,93,-100,-4.8
61,1,0,212.1027,2,-1,-1,2.8,7.4,2.8,7.2,215,-212,-6.6,212.8,-219.8,-3.8,101.4,-98.6,-4.6,93,-100,-4.8
60,1,0,198.6258,2,-1,-1,2.8,7.2,2.8,7.2,201.4,-198.6,-3.2,198.4,-205.4,-0.8,111.6,-108.8,-3.6,96.2,-103.2,-4.4
61,1,0,293.8135,2,-1,-1,2.8,7.2,2.8,7.2,296.8,-293.6,-11.2,266.2,-273,-5.8,114.2,-111.4,-3.4,117.6,-124.6,-1.8
60,1,0,294.5766,2,-1,-1,2.8,7,2.8,7.2,297.6,-294.4,-10.2,214.4,-221.2,0,108.6,-105.8,-4.4,30.6,-36.2,-21.2
61,1,0,189.8026,2,-1,-1,2.8,7,2.8,7.2,192.6,-189.8,1,233.6,-240.4,-0.4,108.6,-105.8,-4.6,119.8,-126.6,-0.8
61,1,0,104.7101,2,-1,-1,3,7,2.8,7.2,313.4,-310.2,-9.2,224.8,-231.8,2.8,107.4,-104.6,-4.8,100.4,-107.4,-4.6
61,1,0,102.9417,2,-1,-1,3,6.8,2.8,7.2,268.4,-265.2,-5,245,-251.6,-0.6,105.6,-102.8,-5.4,168.8,-175.2,5.6
60,1,0,106.7367,2,-1,-1,3,6.8,2.8,7,275,-272,-4.4,245,-251.8,2.4,109.4,-106.6,-5.4,205,-210.8,12.4
60,1,0,112.1301,2,-1,-1,3,6.6,2.8,7,280.2,-277.2,-3.6,689.8,-695.2,-34.4,114.8,-112,-5.4,161.6,-168,4.4
60,1,0,107.1795,2,-1,-1,3,6.6,2.8,6.8,250.2,-247.2,-0.6,235.8,-242.4,0.8,109.8,-107,-6.2,19.6,11.2,-18.6
61,1,0,377.1027,2,-1,-1,3,6.6,3,6.8,380.2,-377,-8.8,663.8,-669.6,-26.8,120.6,-117.6,-4.4,159.2,-165.4,4
61,1,0,317.4106,2,-1,-1,3,6.6,3,6.6,320.4,-317.4,-2.6,261,-267.6,1.4,129.2,-126.2,-4,20.4,12.6,-18
60,1,0,349.4252,2,-1,-1,3,6.6,3,6.6,352.4,-349.4,-4.2,271.8,-278.4,0.8,134,-131,-4.2,176.2,-182.2,4.6
60,1,0,409.9124,2,-1,-1,3,6.4,3,6.6,413,-409.8,-9.6,649.6,-655,-27.4,135,-132,-4.4,137.8,-144.2,-1.2
61,1,0,826.0562,2,-1,-1,3,6.4,3,6.4,829.2,-825.2,-37.6,965.2,-970,-49.6,135,-132,-5.8,180.6,-186.6,3
61,1,0,575.2632,2,-1,-1,3,6.4,3,6.4,578.4,-575,-17.4,629.8,-635.4,-25.4,149.2,-146.2,-5.6,163,-169.2,0.6
61,1,0,556.5294,2,-1,-1,2.8,6.4,3,6.2,559.4,-556.4,-12,7008.6,6988.6,446,160.2,-157.2,-5.4,153.4,-159.4,0
61,1,0,468.2944,2,-1,-1,2.8,6.4,3,6.2,471.2,-468.2,-9.4,641,-646.8,-23,124,-121,-9.4,180,-186,-1.4
60,1,0,513.5178,2,-1,-1,2.8,6.4,3,6,516.4,-513.4,-11,Inf,Inf,Inf,148.4,-145.4,-6.8,179.8,-185.6,1.4
60,1,0,310.0001,2,-1,-1,2.8,6.4,3,6,312.8,-310,0.2,8597.4,8571.6,588.4,181,-178,-6,178.6,-184.6,-2
60,1,0,7432.6861,2,-1,-1,2.8,6.4,3,6,7429.6,7423.2,375.4,11921.8,11893.4,734.2,176.4,-173.4,-7.6,109,-115,-7.4
60,1,0,12218.1002,2,-1,-1,2.8,6.6,3,6,12215,12201.4,638.6,Inf,Inf,Inf,147.8,-144.8,-10.8,127.2,-133.2,-8.4
60,1,0,802.7516,2,-1,-1,2.6,6.6,3,5.8,805.4,-802.6,-15.6,Inf,Inf,Inf,196,-193,-10.4,389.8,-395.2,12
60,1,0,425.8004,2,-1,0,2.6,6.6,3,5.8,428.4,-425.8,-0.6,Inf,Inf,Inf,Inf,Inf,Inf,152.4,-158.2,-6.8
60,1,0,758.7645,2,-1,0,2.6,6.6,3,5.8,761.4,-758.6,-15.8,6748.4,6733,354.2,Inf,Inf,Inf,189.6,-195.4,-5.6
60,1,0,801.1638,2,-1,0,2.6,6.6,2.8,5.8,803.8,-801,-16.2,531.4,523.6,45,Inf,Inf,Inf,174.2,-180,-9.2
60,1,0,975.7773,2,-1,0,2.6,6.6,2.8,5.8,978.4,-975.6,-18.6,5895.8,5883.4,272.2,Inf,Inf,Inf,186,-191.8,-9
63,1,0,783.6318,2,-1,0,2.6,6.8,2.8,5.8,780.6,782.6,40.2,612.2,-619,1.2,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,39811.1139,2,-1,0,2.4,6.8,2.8,5.8,39808.6,39801.4,879.4,581.2,-588,1.8,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,12132.9924,2,-1,0,2.4,6.8,2.8,5.8,12130.4,12130.4,250.8,810.2,-817,-8,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,1343.7549,2,0,0,2.4,6.8,2.8,5.8,Inf,Inf,Inf,1337,-1343.6,-20.4,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,21275.4665,2,0,0,2.4,6.8,2.8,5.8,Inf,Inf,Inf,21281.8,21265.4,654.4,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,2078.2282,2,0,0,2.4,6.8,2.6,5.8,Inf,Inf,Inf,2071.6,-2078,-30.8,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,1085.6145,2,0,0,2.4,6.8,2.6,5.8,Inf,Inf,Inf,1091.8,1084.2,55.4,Inf,Inf,Inf,Inf,Inf,Inf
61,1,0,28182.6135,2,0,0,2.4,7,2.6,5.8,Inf,Inf,Inf,28189.4,28180,383.8,Inf,Inf,Inf,Inf,Inf,Inf
61,1,0,2532.6114,2,0,0,2.4,7,2.6,5.8,Inf,Inf,Inf,2525.6,-2532.6,-7.6,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,18090.606,2,0,0,2.4,7,2.6,5.8,Inf,Inf,Inf,18097.4,18088.6,269.4,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,3233.686,2,0,0,2.2,7,2.6,5.8,Inf,Inf,Inf,3240.4,3232.6,83.8,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.6,5.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,1054.038,2,0,0,2.2,7.2,2.4,6,Inf,Inf,Inf,1046.6,-1053.8,22.4,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
62,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,1,0,Inf,2,0,0,2.2,7,2.4,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,1,0,Inf,2,0,0,2.2,7,2.4,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,1,0,Inf,2,0,0,2.2,7,2.4,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,1,0,Inf,2,0,0,2.2,7,2.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
