host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
66,4,0,3283.6268,5,0,0,13.8,7,11,6.2,Inf,Inf,Inf,Inf,Inf,Inf,3271,3270.6,-292.2,Inf,Inf,Inf
66,4,0,946.6231,5,0,0,13.8,7,11.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,958.6,-945.6,44,Inf,Inf,Inf
66,2,0,200.6774,3,0,0,6.8,7,11.2,Null,192.2,198.6,28.8,Inf,Inf,Inf,953,-940.2,36.6,Null,Null,Null
66,2,0,4532.1218,3,0,0,6.6,7,11.4,Null,Inf,Inf,Inf,Inf,Inf,Inf,4519.2,4517.4,-365,Null,Null,Null
66,2,0,1107.3935,3,0,0,6.6,7,11.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,1120,-1106.2,51.4,Null,Null,Null
66,2,0,817.233,3,0,0,6.6,6.8,11.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,829.8,-816.8,26.6,Null,Null,Null
66,2,0,12241.0028,3,0,0,6.4,7,11.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,12227.8,12211.4,-850.8,Null,Null,Null
65,2,0,852.4788,3,0,0,6.2,6.8,11.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,865,-852.2,21.8,Null,Null,Null
65,2,0,872.8926,3,0,0,6.2,7,12,Null,Inf,Inf,Inf,Inf,Inf,Inf,885.6,-872.6,22.6,Null,Null,Null
66,2,0,852.43,3,0,0,6.4,6.8,12.2,Null,Inf,Inf,Inf,Inf,Inf,Inf,865.2,-852.2,19.8,Null,Null,Null
65,2,0,987.5115,3,0,0,6.4,7,12.2,Null,Inf,Inf,Inf,Inf,Inf,Inf,1000.2,-987.2,24.8,Null,Null,Null
65,2,0,431.094,3,0,0,6.4,6.8,12.2,Null,Inf,Inf,Inf,Inf,Inf,Inf,443.2,-431,-9,Null,Null,Null
66,2,0,869.9127,3,0,0,6.4,6.8,12.4,Null,Inf,Inf,Inf,Inf,Inf,Inf,882.8,-869.8,14,Null,Null,Null
67,2,0,442.6998,3,0,0,6.4,6.8,12.4,Null,Inf,Inf,Inf,Inf,Inf,Inf,455,-442.6,-9.4,Null,Null,Null
67,2,0,904.6693,3,0,0,6.4,6.8,12.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,917.6,-904.6,11.2,Null,Null,Null
67,2,0,455.809,3,0,0,6.4,6.8,12.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,468.2,-455.6,-13.8,Null,Null,Null
67,2,0,899.6011,3,0,0,6.4,6.8,12.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,912.4,-899.6,1.4,Null,Null,Null
68,2,0,953.4047,3,0,0,6.4,6.8,12.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,966.4,-953.4,3,Null,Null,Null
68,2,0,932.0031,3,0,0,6.4,6.8,12.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,945,-932,2.4,Null,Null,Null
67,2,0,852.0019,3,0,0,6.4,6.8,12.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,865,-852,-1.8,Null,Null,Null
67,2,0,Inf,3,0,0,6.6,6.8,12.8,2.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,2199.6749,3,0,0,6.4,6.8,13,2.8,Inf,Inf,Inf,Inf,Inf,Inf,712.2,-699.2,-12,2196.6,-2197.8,-90.8
68,2,0,1178.3835,3,0,0,6.6,6.8,13,2.8,Inf,Inf,Inf,Inf,Inf,Inf,817.2,-804.2,-11.2,1175.2,-1177.2,-52.8
68,2,0,1902.3767,3,0,0,6.4,6.8,13,2.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1899.2,-1900.6,-82.2
67,2,0,Inf,3,0,0,6.4,6.8,13,2.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,6.8,13,2.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,3,0,Inf,3,0,0,Null,6.8,13,2.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,Null,0,Inf,Null,0,0,Null,6.8,Null,2.8,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
66,2,0,Inf,Null,0,0,Null,6.8,6,Null,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,2,0,Inf,Null,0,0,Null,6.8,6.2,Null,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
65,2,0,Inf,Null,0,0,Null,6.8,6.2,Null,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
66,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,5.8,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,6,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,Null,6.8,6.2,6,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,Inf,3,0,0,6.2,6.8,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,3460.2194,3,0,0,6.2,6.8,6.2,6,Inf,Inf,Inf,3453.4,-3460.2,-11.6,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,3344.826,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,3337.8,-3344.8,-13.2,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,6.2,6.8,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,3509.6233,3,0,0,6.2,7,6.2,6,Inf,Inf,Inf,3502.6,-3509.6,-12.8,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,27369.3884,3,0,0,6.2,7,6.2,6.2,Inf,Inf,Inf,27376.2,27365.2,478.8,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,99390.8672,3,0,0,6.2,7,6.2,6.2,Inf,Inf,Inf,99397.6,99376.6,1684,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,125500.0533,3,0,0,6.2,7,6.2,6.2,Inf,Inf,Inf,125506.8,125484.6,1969.4,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,4141.1874,3,0,0,6.2,7,6.2,6.2,Inf,Inf,Inf,4134.2,-4141,-39.4,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,2082.1917,3,0,0,6.2,6.8,6.2,6.2,Inf,Inf,Inf,2088.6,2080.6,81.4,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,19965.9354,3,0,0,6.2,6.8,6,6.2,Inf,Inf,Inf,19972.4,19962,396.4,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,3316.7375,3,0,0,6.2,7,6,6.2,Inf,Inf,Inf,3309.8,-3316.6,-30.2,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,2011.804,3,0,0,6.2,7,6,6.2,Inf,Inf,Inf,2004.8,-2011.8,-4,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,Inf,3,0,0,6.2,7,6,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,3025.9187,3,0,0,6.2,7,6,6.2,Inf,Inf,Inf,3019,-3025.8,-26.8,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,20474.941,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,20481.6,20470.6,421.6,Null,Null,Null,Inf,Inf,Inf
66,2,0,3051.2041,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,3044.2,-3051.2,-5,Null,Null,Null,Inf,Inf,Inf
65,2,0,2566.4013,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,2559.4,-2566.4,-2.6,Null,Null,Null,Inf,Inf,Inf
68,2,0,1769.0463,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,1762,-1769,12.8,Null,Null,Null,Inf,Inf,Inf
68,2,0,Inf,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
68,2,0,Inf,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
68,2,0,3442.0123,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,3435,-3442,-9.2,Null,Null,Null,Inf,Inf,Inf
